,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
584,Wang et al NCommunications,10.1038/s41467-021-25771-5,"Zhen Wang, Lijian Xie, Guohui Ding, Sirui Song, Liqin Chen, Guang Li, Min Xia, Dingding Han, Yue Zheng, Jia Liu, Tingting Xiao, Hong Zhang, Yujuan Huang, Yixue Li, Min Huang",Nat Commun,Single-cell RNA sequencing of peripheral blood mononuclear cells from acute Kawasaki disease patients,20210914,,,Human,Blood,Chromium,GSE168732,,RNA-seq,PBMCs,,,,,,,,,,,,,,2021-09-14,2021,9,14,
585,Wang et al CCR,10.1158/1078-0432.CCR-20-4796,"Huanjun Wang, Yan Mei, Cheng Luo, Qun Huang, Zifeng Wang, Guan-Ming Lu, Lili Qin, Zhun Sun, Chao-Wen Huang, Zhi-Wen Yang, Junxing Chen, Weiguo Yin, Chao-Nan Qian, Jianming Zeng, Lingwu Chen, Qibin Leng, Yan Guo, Guangshuai Jia",Clinical Cancer Research,Single-Cell Analyses Reveal Mechanisms of Cancer Stem Cell Maintenance and Epithelial–Mesenchymal Transition in Recurrent Bladder Cancer,20210915,,54971.0,Human,Tumor,,,,RNA-seq,,,,,,,,,,,,,,13.0,2021-09-15,2021,9,15,4228.538461538462
586,Qiu et al JLB,10.1002/jlb.5ma0721-825r,"Xinru Qiu, Jiang Li, Jeff Bonenfant, Lukasz Jaroszewski, Aarti Mittal, Walter Klein, Adam Godzik, Meera G. Nair",J Leukoc Biol,Dynamic changes in human single‐cell transcriptional signatures during fatal sepsis,20210925,10.1101/2021.03.01.21252411,27685.0,Human,Blood,Chromium,GSE167363,,RNA-seq,,Sepsis,Sepsis vs Healthy,,,,,,,,,,,6.0,2021-09-25,2021,9,25,4614.166666666667
587,Tran et al Neuron,10.1016/j.neuron.2021.09.001,"Matthew N. Tran, Kristen R. Maynard, Abby Spangler, Louise A. Huuki, Kelsey D. Montgomery, Vijay Sadashivaiah, Madhavi Tippani, Brianna K. Barry, Dana B. Hancock, Stephanie C. Hicks, Joel E. Kleinman, Thomas M. Hyde, Leonardo Collado-Torres, Andrew E. Jaffe, Keri Martinowich",Neuron,Single-nucleus transcriptome analysis reveals cell-type-specific molecular signatures across reward circuitry in the human brain,20210927,10.1101/2020.10.07.329839,70615.0,Human,Brain,Chromium,,,RNA-seq,,,,,107,,,,,,,,,8.0,2021-09-27,2021,9,27,8826.875
588,Jardine et al Nature,10.1038/s41586-021-03929-x,"Laura Jardine, Simone Webb, Issac Goh, Mariana Quiroga Londoño, Gary Reynolds, Michael Mather, Bayanne Olabi, Emily Stephenson, Rachel A. Botting, Dave Horsfall, Justin Engelbert, Daniel Maunder, Nicole Mende, Caitlin Murnane, Emma Dann, Jim McGrath, Hamish King, Iwo Kucinski, Rachel Queen, Christopher D. Carey, Caroline Shrubsole, Elizabeth Poyner, Meghan Acres, Claire Jones, Thomas Ness, Rowen Coulthard, Natalina Elliott, Sorcha O’Byrne, Myriam L. R. Haltalli, John E. Lawrence, Steven Lisgo, Petra Balogh, Kerstin B. Meyer, Elena Prigmore, Kirsty Ambridge, Mika Sarkin Jain, Mirjana Efremova, Keir Pickard, Thomas Creasey, Jaume Bacardit, Deborah Henderson, Jonathan Coxhead, Andrew Filby, Rafiqul Hussain, David Dixon, David McDonald, Dorin-Mirel Popescu, Monika S. Kowalczyk, Bo Li, Orr Ashenberg, Marcin Tabaka, Danielle Dionne, Timothy L. Tickle, Michal Slyper, Orit Rozenblatt-Rosen, Aviv Regev, Sam Behjati, Elisa Laurenti, Nicola K. Wilson, Anindita Roy, Berthold Göttgens, Irene Roberts, Sarah A. Teichmann, Muzlifah Haniffa",Nature,Blood and immune development in human fetal bone marrow and Down syndrome,20210929,,,Human,Bone marrow,,,,,,,,,,,,,,,,,https://fbm.cellatlas.io/,9.0,2021-09-29,2021,9,29,
589,Steen et al CCell,10.1016/j.ccell.2021.08.011,"Chloé B. Steen, Bogdan A. Luca, Mohammad S. Esfahani, Armon Azizi, Brian J. Sworder, Barzin Y. Nabet, David M. Kurtz, Chih Long Liu, Farnaz Khameneh, Ranjana H. Advani, Yasodha Natkunam, June H. Myklebust, Maximilian Diehn, Andrew J. Gentles, Aaron M. Newman, Ash A. Alizadeh",Cancer Cell,The landscape of tumor cell states and ecosystems in diffuse large B cell lymphoma,20210930,,,Human,Tumor,Chromium,GSE182434,,RNA-seq,,,,TCR,,,,,,,,,,4.0,2021-09-30,2021,9,30,
590,Oliva et al JIC,10.1136/jitc-2021-003476,"Marc Oliva, Douglas Chepeha, Daniel V Araujo, J. Javier Diaz-Mejia, Peter Olson, Amy Prawira, Anna Spreafico, Scott V Bratman, Tina Shek, John de Almeida, Aaron R Hansen, Andrew Hope, David Goldstein, Ilan Weinreb, Stephen Smith, Bayardo Perez-Ordoñez, Jonathan Irish, Dax Torti, Jeffrey P. Bruce, Ben X. Wang, Anthony Fortuna, Trevor J. Pugh, Hirak Der-Torossian, Ronald Shazer, Nickolas Attanasio, Qingyan Au, Antony Tin, Jordan Feeney, Himanshu Sethi, Alexey Aleshin, Isan Chen, Lillian Siu",J Immunother Cancer,Antitumor immune effects of preoperative sitravatinib and nivolumab in oral cavity cancer: SNOW window-of-opportunity study,20211001,,47717.0,Human,Oral cavity,Chromium,CRES-P29,,RNA-seq,Cancer,,,,,,,,,,,,,5.0,2021-10-01,2021,10,1,9543.4
591,Shi et al CBioscience,10.1186/s13578-021-00691-5,"Yueqi Shi, Yejia Yu, Yuqiong Zhou, Jun Zhao, Wenjie Zhang, Duohong Zou, Weichen Song, Shaoyi Wang",Cell Biosci,A single-cell interactome of human tooth germ from growing third molar elucidates signaling networks regulating dental development,20211004,10.21203/rs.3.rs-599203/v1,,Human,Tooth germ,BD Rhapsody,,,RNA-seq,,,,,,,,,,,,,,2.0,2021-10-04,2021,10,4,
592,Chung et al NMethods,10.1038/s41592-021-01278-1,"Hattie Chung, Christopher N. Parkhurst, Emma M. Magee, Devan Phillips, Ehsan Habibi, Fei Chen, Bertrand Z. Yeung, Julia Waldman, David Artis, Aviv Regev",Nat Methods,Joint single-cell measurements of nuclear proteins and RNA in vivo,20211004,10.1101/2021.01.18.427139,31597.0,"Human, Mouse","Brain, Culture",inCITE-seq,GSE163480,,RNA-seq,,,,,,,,,,,,,,2.0,2021-10-04,2021,10,4,15798.5
593,Zhang et al EMBOReports,10.15252/embr.202152728,"Qi Zhang, Xianming Wu, Yongheng Fan, Peipei Jiang, Yannan Zhao, Yaming Yang, Sufang Han, Bai Xu, Bing Chen, Jin Han, Minghan Sun, Guangfeng Zhao, Zhifeng Xiao, Yali Hu, Jianwu Dai",EMBO Reports,Single‐cell analysis reveals dynamic changes of neural cells in developing human spinal cord,20211006,,827265.0,Human,Spinal cord,Chromium,,,RNA-seq,,,,"GW 7&23 (whole), GW 9 (C,T), GW 8,10,11,12,13,14,15,16,17,18,19,20,21,22 (C,T,L)",,,,,,,,,,23.0,2021-10-06,2021,10,6,35968.04347826087
594,Bakken et al Nature,10.1038/s41586-021-03465-8,"Trygve E. Bakken, Nikolas L. Jorstad, Qiwen Hu, Blue B. Lake, Wei Tian, Brian E. Kalmbach, Megan Crow, Rebecca D. Hodge, Fenna M. Krienen, Staci A. Sorensen, Jeroen Eggermont, Zizhen Yao, Brian D. Aevermann, Andrew I. Aldridge, Anna Bartlett, Darren Bertagnolli, Tamara Casper, Rosa G. Castanon, Kirsten Crichton, Tanya L. Daigle, Rachel Dalley, Nick Dee, Nikolai Dembrow, Dinh Diep, Song-Lin Ding, Weixiu Dong, Rongxin Fang, Stephan Fischer, Melissa Goldman, Jeff Goldy, Lucas T. Graybuck, Brian R. Herb, Xiaomeng Hou, Jayaram Kancherla, Matthew Kroll, Kanan Lathia, Baldur van Lew, Yang Eric Li, Christine S. Liu, Hanqing Liu, Jacinta D. Lucero, Anup Mahurkar, Delissa McMillen, Jeremy A. Miller, Marmar Moussa, Joseph R. Nery, Philip R. Nicovich, Sheng-Yong Niu, Joshua Orvis, Julia K. Osteen, Scott Owen, Carter R. Palmer, Thanh Pham, Nongluk Plongthongkum, Olivier Poirion, Nora M. Reed, Christine Rimorin, Angeline Rivkin, William J. Romanow, Adriana E. Sedeño-Cortés, Kimberly Siletti, Saroja Somasundaram, Josef Sulc, Michael Tieu, Amy Torkelson, Herman Tung, Xinxin Wang, Fangming Xie, Anna Marie Yanny, Renee Zhang, Seth A. Ament, M. Margarita Behrens, Hector Corrada Bravo, Jerold Chun, Alexander Dobin, Jesse Gillis, Ronna Hertzano, Patrick R. Hof, Thomas Höllt, Gregory D. Horwitz, C. Dirk Keene, Peter V. Kharchenko, Andrew L. Ko, Boudewijn P. Lelieveldt, Chongyuan Luo, Eran A. Mukamel, António Pinto-Duarte, Sebastian Preissl, Aviv Regev, Bing Ren, Richard H. Scheuermann, Kimberly Smith, William J. Spain, Owen R. White, Christof Koch, Michael Hawrylycz, Bosiljka Tasic, Evan Z. Macosko, Steven A. McCarroll, Jonathan T. Ting, Hongkui Zeng, Kun Zhang, Guoping Feng, Joseph R. Ecker, Sten Linnarsson, Ed S. Lein",Nature,"Comparative cellular analysis of motor cortex in human, marmoset and mouse",20211007,10.1101/2020.03.31.016972,450000.0,"Human, Marmoset, Mouse",Brain,SMARTer & Chromium & Patch-seq,https://assets.nemoarchive.org/dat-ek5dbmu,,RNA-seq,,,,,127,Yes,No,No,Yes,Yes,,,,2.0,2021-10-07,2021,10,7,225000.0
595,Ziffra et al Nature,10.1038/s41586-021-03209-8,"Ryan S. Ziffra, Chang N. Kim, Jayden M. Ross, Amy Wilfert, Tychele N. Turner, Maximilian Haeussler, Alex M. Casella, Pawel F. Przytycki, Kathleen C. Keough, David Shin, Derek Bogdanoff, Anat Kreimer, Katherine S. Pollard, Seth A. Ament, Evan E. Eichler, Nadav Ahituv, Tomasz J. Nowakowski",Nature,Single-cell epigenomics reveals mechanisms of human cortical development,20211007,,,Human,"Brain, Culture",Chromium,syn4921369,,RNA-seq,,,,,,,,,,,,,,3.0,2021-10-07,2021,10,7,
596,Mahyari et al AJHG,10.1016/j.ajhg.2021.09.001,"Eisa Mahyari, Jingtao Guo, Ana C. Lima, Daniel P. Lewinsohn, Alexandra M. Stendahl, Katinka A. Vigh-Conrad, Xichen Nie, Liina Nagirnaja, Nicole B. Rockweiler, Douglas T. Carrell, James M. Hotaling, Kenneth I. Aston, Donald F. Conrad",The American Journal of Human Genetics,Comparative single-cell analysis of biopsies clarifies pathogenic mechanisms in Klinefelter syndrome,20211008,,,Human,Testicle,,,,RNA-seq,,,,,,,,,,,,,https://conradlab.shinyapps.io/HISTA/,12.0,2021-10-08,2021,10,8,
597,Nanus et al eBiomedicine,10.1016/j.ebiom.2021.103618,"Dominika E Nanus, Amel Badoume, Susanne N Wijesinghe, Andrea M Halsey, Patrick Hurley, Zubair Ahmed, Rajesh Botchu, Edward T Davis, Mark A Lindsay, Simon W Jones",eBioMedicine,Synovial tissue from sites of joint pain in knee osteoarthritis patients exhibits a differential phenotype with distinct fibroblast subsets,20211009,,4247.0,Human,Synovial tissue,Chromium,GSE176308,,RNA-seq,Synovial fibroblasts,Osteoarthritis,,,,,,,,,,,,8.0,2021-10-09,2021,10,9,530.875
598,Ma et al bioRxiv,10.1101/2021.10.08.463030,"Lijun Ma, Mariana Murea, Young A Choi, Ashok K. Hemal, Alexei V. Mikhailov, James A. Snipes, Jeff W. Chou, Wei Cui, Lance D. Miller, Gregory A. Hawkins, Nicholette D. Palmer, Carl D. Langefeld, Barry I. Freedman",bioRxiv,Kidney pathological changes alter cell clustering features in single-cell RNA sequencing,20211010,10.1101/2021.10.08.463030,,Human,Kidney,Chromium,,,RNA-seq,,,,,,,,,,,,,,4.0,2021-10-10,2021,10,10,
599,Marshall et al bioRxiv,10.1101/2021.10.10.463829,"Jamie L. Marshall, Teia Noel, Qingbow S. Wang, Silvana Bazua-Valenti, Haiqi Chen, Evan Murray, Ayshwarya Subramanian, Katherine A. Vernon, Katie Liguori, Keith Keller, Robert R. Stickels, Breanna McBean, Rowan M. Heneghan, Astrid Weins, Evan Z. Macosko, Fei Chen, Anna Greka",bioRxiv,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,20211011,10.1101/2021.10.10.463829,,"Human, Mouse",Kidney,Slide-seqV2,,,RNA-seq,,,,,,,,,,,,,,9.0,2021-10-11,2021,10,11,
600,King et al SImmunology,10.1126/sciimmunol.abh3768,"Hamish W. King, Kristen L. Wells, Zohar Shipony, Arwa S. Kathiria, Lisa E. Wagar, Caleb Lareau, Nara Orban, Robson Capasso, Mark M. Davis, Lars M. Steinmetz, Louisa K. James, William J. Greenleaf",Sci. Immunol.,Integrated single-cell transcriptomics and epigenomics reveals strong germinal center–associated etiology of autoimmune risk loci,20211013,10.1101/2021.03.16.435578,,Human,Tonsil,Chromium,GSE165860,,RNA-seq,,,,2-7 years old,10,Yes,Yes,No,Yes,No,,,,3.0,2021-10-13,2021,10,13,
601,Bryois et al medRxiv,10.1101/2021.10.09.21264604,"Julien Bryois, Daniela Calini, Will Macnair, Lynette Foo, Eduard Urich, Ward Ortmann, Victor Alejandro Iglesias, Suresh Selvaraj, Erik Nutma, Manuel Marzin, Sandra Amor, Anna Williams, Gonçalo Castelo-Branco, Vilas Menon, Philip De Jager, Dheeraj Malhotra",medRxiv,Cell-type specific cis-eQTLs in eight brain cell-types identifies novel risk genes for human brain disorders,20211015,10.1101/2021.10.09.21264604,750614.0,Human,Brain,Chromium,,,RNA-seq,Microglia,"Alzheimer's disease, Multiple sclerosis",,,8,No,No,No,Yes,No,,,,123.0,2021-10-15,2021,10,15,6102.552845528456
602,Song et al bioRxiv,10.1101/2021.10.13.464268,"Hanbing Song, Simon Bucher, Katherine Rosenberg, Margaret Tsui, Deviana Burhan, Soo-Jin Cho, Arun Rangaswami, Franklin W. Huang, Amar Nijagal, Bruce Wang",bioRxiv,Single-cell analysis of hepatoblastoma identifies distinct tumor cell signatures that predict susceptibility to chemotherapy using patient-specific tumor spheroids,20211015,10.1101/2021.10.13.464268,,Human,,,,,,,,,,,,,,,,,,,9.0,2021-10-15,2021,10,15,
603,Chan et al CCell,10.1016/j.ccell.2021.09.008,"Joseph M. Chan, Álvaro Quintanal-Villalonga, Vianne Ran Gao, Yubin Xie, Viola Allaj, Ojasvi Chaudhary, Ignas Masilionis, Jacklynn Egger, Andrew Chow, Thomas Walle, Marissa Mattar, Dig V.K. Yarlagadda, James L. Wang, Fathema Uddin, Michael Offin, Metamia Ciampricotti, Besnik Qeriqi, Amber Bahr, Elisa de Stanchina, Umesh K. Bhanot, W. Victoria Lai, Matthew J. Bott, David R. Jones, Arvin Ruiz, Marina K. Baine, Yanyun Li, Natasha Rekhtman, John T. Poirier, Tal Nawy, Triparna Sen, Linas Mazutis, Travis J. Hollmann, Dana Pe'er, Charles M. Rudin",Cancer Cell,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",20211016,,155098.0,Human,Tumor,Chromium,,,RNA-seq,Small cell lung cancer,,,,,Yes,No,No,Yes,Yes,,,https://data.humantumoratlas.org/,21.0,2021-10-16,2021,10,16,7385.619047619048
604,Wälchli et al bioRxiv,10.1101/2021.10.18.464715,"Thomas Wälchli, Moheb Ghobrial, Marc Schwab, Shigeki Takada, Hang Zhong, Samuel Suntharalingham, Sandra Vetiska, Daymé Rodrigues Rodrigues, Hubert Rehrauer, Ruilin Wu, Kai Yu, Jeroen Bisschop, Fiona Farnhammer, Luca Regli, Karl Schaller, Karl Frei, Troy Ketela, Mark Bernstein, Paul Kongkham, Peter Carmeliet, Taufik Valiante, Peter B. Dirks, Mario L. Suva, Gelareh Zadeh, Viviane Tabar, Ralph Schlapbach, Katrien De Bock, Jason Fish, Philippe Monnier, Gary Bader, Ivan Radovanovic",bioRxiv,Molecular atlas of the human brain vasculature at the single-cell level,20211020,10.1101/2021.10.18.464715,599215.0,Human,"Arm, Brain, Heart, Kidney, Leg, Throat, Tumor",Chromium,,,RNA-seq,,,,"GW9, GW9.1, GW9.5, GW12.4, GW14.4, GW15.5, GW16.4, GW18, Adult",44,Yes,Yes,No,Yes,No,,,,47.0,2021-10-20,2021,10,20,12749.255319148937
605,Dunlap et al bioRxiv,10.1101/2021.10.19.464575,"Garrett S. Dunlap, Allison C. Billi, Feiyang Ma, Mitra P. Maz, Lam C. Tsoi, Rachael Wasikowski, Johann E. Gudjonsson, J. Michelle Kahlenberg, Deepak A. Rao",bioRxiv,Single cell transcriptomics reveals distinct effector profiles of infiltrating T cells in lupus skin and kidney,20211020,10.1101/2021.10.19.464575,3499.0,Human,"Kidney, Skin",Chromium,GSE181957,,RNA-seq,,Systemic lupus erythematosus,,,12,Yes,,,,,,,,20.0,2021-10-20,2021,10,20,174.95
606,Wang et al IJBS,10.7150/ijbs.61950,"Zun Wang, Xiaohua Li, Junxiao Yang, Yun Gong, Huixi Zhang, Xiang Qiu, Ying Liu, Cui Zhou, Yu Chen, Jonathan Greenbaum, Liang Cheng, Yihe Hu, Jie Xie, Xucheng Yang, Yusheng Li, Martin R. Schiller, Yiping Chen, Lijun Tan, Si-Yuan Tang, Hui Shen, Hong-Mei Xiao, Hong-Wen Deng",Int. J. Biol. Sci.,Single-cell RNA sequencing deconvolutes the <i>in vivo</i> heterogeneity of human bone marrow-derived mesenchymal stem cells,20211025,,,Human,Bone marrow,Chromium,GSE147287,,RNA-seq,BM-MNCs,"Osteoarthritis, Osteoporosis",,,,,,,,,,,,2.0,2021-10-25,2021,10,25,
607,Chang et al CReports,10.1016/j.celrep.2021.109902,"Margaret H. Chang, Anaïs Levescot, Nathan Nelson-Maney, Rachel B. Blaustein, Kellen D. Winden, Allyn Morris, Alexandra Wactor, Spoorthi Balu, Ricardo Grieshaber-Bouyer, Kevin Wei, Lauren A. Henderson, Yoichiro Iwakura, Rachael A. Clark, Deepak A. Rao, Robert C. Fuhlbrigge, Peter A. Nigrovic",Cell Reports,Arthritis flares mediated by tissue-resident memory T cells in the joint,20211026,,8309.0,Human,Synovium,Chromium,GSE184582,,RNA-seq,Memory T cells,Rheumatoid arthritis,,,,Yes,,,,Yes,,,,5.0,2021-10-26,2021,10,26,1661.8
608,Poonpanichakul et al BReports,10.1042/BSR20212093,"Tiraput Poonpanichakul, Meng-Shin Shiao, Natnicha Jiravejchakul, Ponpan Matangkasombut, Ekaphop Sirachainan, Varodom Charoensawan, Natini Jinawath",Bioscience Reports,Capturing tumour heterogeneity in pre- and post-chemotherapy colorectal cancer ascites-derived cells using single-cell RNA-sequencing,20211028,,19653.0,Human,,,,,RNA-seq,,,,,14,,,,,,,,,1.0,2021-10-28,2021,10,28,19653.0
609,Tsartsalis et al bioRxiv,10.1101/2021.10.27.465860,"Stergios Tsartsalis, Nurun Fancy, Amy M. Smith, Combiz Khozoie, Xin Yang, Karen Davey, Nanet Willumsen, Aisling McGarry, Robert C. J. Muirhead, Stephanie Debette, David R. Owen, Paul M. Matthews",bioRxiv,Single nuclear transcriptional signatures of dysfunctional brain vascular homeostasis in Alzheimer’s disease,20211029,10.1101/2021.10.27.465860,,Human,Brain,Chromium,GSE160936,,RNA-seq,Microglia,Alzheimer's disease,,,6,Yes,No,No,Yes,No,,,,57.0,2021-10-29,2021,10,29,
610,Vorstandlechner et al NCommunicaitons,10.1038/s41467-021-26495-2,"Vera Vorstandlechner, Maria Laggner, Dragan Copic, Katharina Klas, Martin Direder, Yiyan Chen, Bahar Golabi, Werner Haslik, Christine Radtke, Erwin Tschachler, Konrad Hötzenecker, Hendrik Jan Ankersmit, Michael Mildner",Nat Commun,The serine proteases dipeptidyl-peptidase 4 and urokinase are key molecules in human and mouse scar formation,20211029,,25083.0,"Human, Mouse",Skin,Chromium,GSE156326,,RNA-seq,Scars and skin,,Fibrotic vs Normal,,,,,,,,,,,6.0,2021-10-29,2021,10,29,4180.5
611,Yan et al FEndocrinology,10.3389/fendo.2021.729565,"Ting Yan, Wangwang Qiu, Huaiyu Weng, Youben Fan, Guangwen Zhou, Zhili Yang",Front. Endocrinol.,Single-Cell Transcriptomic Analysis of Ecosystems in Papillary Thyroid Carcinoma Progression,20211101,,11805.0,Human,"Lymph node, Pancreas, Tumor",Chromium,PRJNA766250,,RNA-seq,,,,,8,Yes,Yes,No,,Yes,,,,1.0,2021-11-01,2021,11,1,11805.0
612,Yu et al bioRxiv,10.1101/2021.11.02.466852,"Hao Yu, Na Ai, Ping Peng, Yuwen Ke, Xuepeng Chen, Yun Li, Ting Zhao, Shan Jiang, Jiang Liu, Lan Jiang",bioRxiv,Comprehensive identification of fetal cis-regulatory elements in the human genome by single-cell multi-omics analysis,20211103,10.1101/2021.11.02.466852,185061.0,Human,"Eye, Thymus, Thyroid, Limb, Lung, Heart, Spleen, Kidney, Female gonad, Male gonad, Liver, Pancreas, Stomach, Small intestine, Large intestine",Chromium,,,RNA-seq,,,,"GW8, GW10, GW16",225,Yes,,,,,,,,14.0,2021-11-03,2021,11,3,13218.642857142857
613,Medrano-Trochez et al SCRT,10.1186/s13287-021-02627-9,"Camila Medrano-Trochez, Paramita Chatterjee, Pallab Pradhan, Hazel Y. Stevens, Molly E. Ogle, Edward A. Botchwey, Joanne Kurtzberg, Carolyn Yeago, Greg Gibson, Krishnendu Roy",Stem Cell Res Ther,Single-cell RNA-seq of out-of-thaw mesenchymal stromal cells shows tissue-of-origin differences and inter-donor cell-cycle variations,20211104,,20000.0,Human,,ddSEQ,,,RNA-seq,,,,,,,,,,,,,,4.0,2021-11-04,2021,11,4,5000.0
614,Yu et al NNeuroscience,10.1038/s41593-021-00940-3,"Yuan Yu, Zhiwei Zeng, Danlin Xie, Renliang Chen, Yongqiang Sha, Shiying Huang, Wenjie Cai, Wanhua Chen, Wenjun Li, Rongqin Ke, Tao Sun",Nat Neurosci,Interneuron origin and molecular diversity in the human fetal brain,20211104,,40572.0,Human,Brain,,,,RNA-seq,Subpallium (ganglionic eminances),,,"GW 9,10,11,12",,,,,,,,,,4.0,2021-11-04,2021,11,4,10143.0
615,Roostaei et al bioRxiv,10.1101/2021.11.01.466797,"Tina Roostaei, Claudiu Diaconu, Hanane Touil, Claire Harbison, Ya Zhang, Samantha Epstein, John Tuddenham, Kiran Thakur, Julien Bryois, Heinz Wiendl, Gerd Meyer Zu Hörste, Dheeraj Malhotra, Claire Riley, Vilas Menon, Philip L. De Jager",bioRxiv,Defining the architecture of cerebrospinal fluid cellular communities in neuroinflammatory diseases,20211105,10.1101/2021.11.01.466797,216723.0,Human,"Cerebrospinal fluid, Blood",Chromium,,,RNA-seq,,Multiple sclerosis,,,,,,,,,,,,68.0,2021-11-05,2021,11,5,3187.1029411764707
616,Zhang et al FEndocrinology,10.3389/fendo.2021.666140,"Hao Zhang, Renkai Wang, Guangchao Wang, Bo Zhang, Chao Wang, Di Li, Chen Ding, Qiang Wei, Zhenyu Fan, Hao Tang, Fang Ji",Front. Endocrinol.,Single-Cell RNA Sequencing Reveals B Cells Are Important Regulators in Fracture Healing,20211108,,9976.0,"Human, Mouse",,BD Rhapsody,GSE142786,,RNA-seq,,,Fresh fracture vs Old fracture,,,,,,,,,,,2.0,2021-11-08,2021,11,8,4988.0
617,Wang et al NCommunications,10.1038/s41467-021-26770-2,"Zhoufeng Wang, Zhe Li, Kun Zhou, Chengdi Wang, Lili Jiang, Li Zhang, Ying Yang, Wenxin Luo, Wenliang Qiao, Gang Wang, Yinyun Ni, Shuiping Dai, Tingting Guo, Guiyi Ji, Minjie Xu, Yiying Liu, Zhixi Su, Guowei Che, Weimin Li",Nat Commun,Deciphering cell lineage specification of human lung adenocarcinoma with single-cell RNA sequencing,20211111,,268471.0,Human,"Lung, Tumor",Chromium,HRA001130,,RNA-seq,,,,,,,,,,,,,https://portal.gdc.cancer.gov/projects/TCGA-LUAD,25.0,2021-11-11,2021,11,11,10738.84
618,Sinha et al NMedicine,10.1038/s41591-021-01576-3,"Sarthak Sinha, Nicole L. Rosin, Rohit Arora, Elodie Labit, Arzina Jaffer, Leslie Cao, Raquel Farias, Angela P. Nguyen, Luiz G. N. de Almeida, Antoine Dufour, Amy Bromley, Braedon McDonald, Mark R. Gillrie, Marvin J. Fritzler, Bryan G. Yipp, Jeff Biernaskie",Nat Med,Dexamethasone modulates immature neutrophils and interferon programming in severe COVID-19,20211115,,1872659.0,Human,Blood,Chromium,GSE157789,,RNA-seq,Leukocytes and lymphocytes,COVID-19,,,,,,,,,,,,21.0,2021-11-15,2021,11,15,89174.23809523809
619,Tyser et al Nature,10.1038/s41586-021-04158-y,"Richard C. V. Tyser, Elmir Mahammadov, Shota Nakanoh, Ludovic Vallier, Antonio Scialdone, Shankar Srinivas",Nature,Single-cell transcriptomic characterization of a gastrulating human embryo,20211117,,1195.0,Human,,Smart-seq2,E-MTAB-9388,,RNA-seq,,,,E16,,,,,,,,,http://www.human-gastrula.net/,1.0,2021-11-17,2021,11,17,1195.0
620,Andrews et al HCommunications,10.1002/hep4.1854,"Tallulah S. Andrews, Jawairia Atif, Jeff C. Liu, Catia T. Perciani, Xue‐Zhong Ma, Cornelia Thoeni, Michal Slyper, Gökcen Eraslan, Asa Segerstolpe, Justin Manuel, Sai Chung, Erin Winter, Iulia Cirlan, Nicholas Khuu, Sandra Fischer, Orit Rozenblatt‐Rosen, Aviv Regev, Ian D. McGilvray, Gary D. Bader, Sonya A. MacParland",Hepatol Commun,"Single‐Cell, Single‐Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",20211118,,73295.0,Human,Liver,Chromium,GSE185477,,RNA-seq,,,,,20,Yes,Yes,No,Yes,No,,,https://figshare.com/projects/Human_Liver_SC_vs_SN_paper/98981,4.0,2021-11-18,2021,11,18,18323.75
621,Guo et al JCIInsight,10.1172/jci.insight.152616,"Wei Guo, Cuiyu Zhang, Xia Wang, Dandan Dou, Dawei Chen, Jingxin Li",JCI Insight,Resolving the difference between left-sided and right-sided colorectal cancer by single-cell sequencing,20211118,,27927.0,Human,"Colon, Tumor",Chromium,GSE188711,,RNA-seq,,Colorectal cancer,Right sided vs Left sided,,,,,,,,,,,6.0,2021-11-18,2021,11,18,4654.5
622,Palmer et al PNAS,10.1073/pnas.2114326118,"Carter R. Palmer, Christine S. Liu, William J. Romanow, Ming-Hsiang Lee, Jerold Chun",Proc. Natl. Acad. Sci. U.S.A.,Altered cell and RNA isoform diversity in aging Down syndrome brains,20211118,,172237.0,Human,Brain,Chromium,EGAS00001005691,,RNA-seq,,Down syndrome,DS vs Control,,,,,,,,,,,29.0,2021-11-18,2021,11,18,5939.206896551724
623,Ma et al NImmunology,10.1038/s41590-021-01073-2,"Ke-Yue Ma, Alexandra A. Schonnesen, Chenfeng He, Amanda Y. Xia, Eric Sun, Eunise Chen, Katherine R. Sebastian, Yu-Wan Guo, Robert Balderas, Mrinalini Kulkarni-Date, Ning Jiang",Nat Immunol,High-throughput and high-dimensional single-cell analysis of antigen-specific CD8+ T cells,20211122,,,Human,,TeTCR-seqHD,phs002441.v1.p1,,RNA-seq,,,,,,,,,,,,,,18.0,2021-11-22,2021,11,22,
