,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
1601,Yu et al bioRxiv,10.1101/2021.11.02.466852,14,,The single-cell RNA sequencing (scRNA-seq) and single-cell assay for transposase-accessible chromatin sequencing (scATAC-seq) were performed for 14 human fetal organs. (Source: Sentence 53),Human,"185,061","Eye, Thymus, Thyroid, Limb, Lung, Heart, Spleen, Kidney, Female gonad, Male gonad, Liver, Pancreas, Stomach, Small intestine, Large intestine",Several,3,,,"Hao Yu, Na Ai, Ping Peng, Yuwen Ke, Xuepeng Chen, Yun Li, Ting Zhao, Shan Jiang, Jiang Liu, Lan Jiang",bioRxiv,Comprehensive identification of fetal cis-regulatory elements in the human genome by single-cell multi-omics analysis,03/11/2021,10.1101/2021.11.02.466852,Chromium,,,RNA-seq,,,"GW8, GW10, GW16",225,Yes,,,,,,,,10.1101/2021.11.02.466852,1,Yu et al bioRxiv,1,
1602,Medrano-Trochez et al SCRT,10.1186/s13287-021-02627-9,4,,"Single-cell RNA sequencing data were analyzed for 10 ""healthy"" donors in this study. 

Source sentence: ""In this study, for the first time we show 13 cryopreserved out of thaw MSC samples derived from 10 “healthy” donors, characterized at the single cell transcriptome level""",Human,"20,000","Bone marrow, cord",Several,3,,,"Camila Medrano-Trochez, Paramita Chatterjee, Pallab Pradhan, Hazel Y. Stevens, Molly E. Ogle, Edward A. Botchwey, Joanne Kurtzberg, Carolyn Yeago, Greg Gibson, Krishnendu Roy",Stem Cell Res Ther,Single-cell RNA-seq of out-of-thaw mesenchymal stromal cells shows tissue-of-origin differences and inter-donor cell-cycle variations,04/11/2021,,ddSEQ,,,RNA-seq,,,,,,,,,,,,,10.1186/s13287-021-02627-9,1,Medrano-Trochez et al SCRT,1,4
1603,Ghanem et al bioRxiv,10.1101/2021.11.01.466839,,,,Human,,Culture,,,,,"Mustafa H. Ghanem, Andrew J. Shih, Houman Khalili, Emily Werth, Jayanta K. Chakrabarty, Lewis M. Brown, Kim R. Simpfendorfer, Peter K. Gregersen",bioRxiv,Proteomic and single-cell transcriptomic dissection of human plasmacytoid dendritic cell response to influenza virus,20211104,10.1101/2021.11.01.466839,Chromium,,,RNA-seq,pDCs,,,,,,,,,,,,10.1101/2021.11.01.466839,1,Ghanem et al bioRxiv,1,
1604,Yu et al NNeuroscience,10.1038/s41593-021-00940-3,4,"Experimental workflow of single-cell RNA-seq of human fetal subpallium collected from brains at GW9 to GW12 (GW9, GW10, GW11 and GW12)",,Human,"40,572",Brain,Brain,3,,,"Yuan Yu, Zhiwei Zeng, Danlin Xie, Renliang Chen, Yongqiang Sha, Shiying Huang, Wenjie Cai, Wanhua Chen, Wenjun Li, Rongqin Ke, Tao Sun",Nat Neurosci,Interneuron origin and molecular diversity in the human fetal brain,04/11/2021,,,,,RNA-seq,Subpallium (ganglionic eminances),,"GW 9,10,11,12",,,,,,,,,,10.1038/s41593-021-00940-3,1,Yu et al NNeuroscience,1,
1605,Musser et al Science,10.1126/science.abj2949,,,,Sponge,,Whole organism,,,,,"Jacob M. Musser, Klaske J. Schippers, Michael Nickel, Giulia Mizzon, Andrea B. Kohn, Constantin Pape, Paolo Ronchi, Nikolaos Papadopoulos, Alexander J. Tarashansky, Jörg U. Hammel, Florian Wolf, Cong Liang, Ana Hernández-Plaza, Carlos P. Cantalapiedra, Kaia Achim, Nicole L. Schieber, Leslie Pan, Fabian Ruperti, Warren R. Francis, Sergio Vargas, Svenja Kling, Maike Renkert, Maxim Polikarpov, Gleb Bourenkov, Roberto Feuda, Imre Gaspar, Pawel Burkhardt, Bo Wang, Peer Bork, Martin Beck, Thomas R. Schneider, Anna Kreshuk, Gert Wörheide, Jaime Huerta-Cepas, Yannick Schwab, Leonid L. Moroz, Detlev Arendt",Science,Profiling cellular diversity in sponges informs animal cell type and nervous system evolution,20211104,10.1101/758276,,,,RNA-seq,Whole organism,,,18,,,,,,,,,10.1126/science.abj2949,1,Musser et al Science,1,
1606,Roostaei et al bioRxiv,10.1101/2021.11.01.466797,68,,"Single-cell RNA sequencing data were generated from 58 cerebrospinal fluid (CSF) and 10 peripheral blood mononuclear cell (PBMC) samples obtained from 57 individuals, including individuals undergoing diagnostic lumbar puncture and individuals with progressive multiple sclerosis, as well as other neuroinflammatory disorders. (Source: first and fifth sentences of the Results section)",Human,"216,723","Cerebrospinal fluid, Blood",Several,2,,,"Tina Roostaei, Claudiu Diaconu, Hanane Touil, Claire Harbison, Ya Zhang, Samantha Epstein, John Tuddenham, Kiran Thakur, Julien Bryois, Heinz Wiendl, Gerd Meyer Zu Hörste, Dheeraj Malhotra, Claire Riley, Vilas Menon, Philip L. De Jager",bioRxiv,Defining the architecture of cerebrospinal fluid cellular communities in neuroinflammatory diseases,05/11/2021,10.1101/2021.11.01.466797,Chromium,,,RNA-seq,,Multiple sclerosis,,,,,,,,,,,10.1101/2021.11.01.466797,1,Roostaei et al bioRxiv,1,68
1607,Zhang et al FEndocrinology,10.3389/fendo.2021.666140,2,,"Single-cell RNA sequencing data were analyzed for two patients in this study. ""To isolate human fracture tissue cells at different stages following fracture, fresh fracture tissues (control, less than 5 days) and oldfracture tissues (case, more than 30 days) were obtained fromtwo patients that had hip replacement surgery ( Figure 1A ).""","Human, Mouse","9,976",Bone marrow,Bone marrow,2,Fresh fracture vs Old fracture,,"Hao Zhang, Renkai Wang, Guangchao Wang, Bo Zhang, Chao Wang, Di Li, Chen Ding, Qiang Wei, Zhenyu Fan, Hao Tang, Fang Ji",Front. Endocrinol.,Single-Cell RNA Sequencing Reveals B Cells Are Important Regulators in Fracture Healing,08/11/2021,,BD Rhapsody,GSE142786,,RNA-seq,,,,,,,,,,,,,10.3389/fendo.2021.666140,1,Zhang et al FEndocrinology,1,2
1608,Mirabella et al Immunity,10.1016/j.immuni.2021.10.006,,,,Mouse,,"Brain, Culture",,,,,"Filippo Mirabella, Genni Desiato, Sara Mancinelli, Giuliana Fossati, Marco Rasile, Raffaella Morini, Marija Markicevic, Christina Grimm, Clara Amegandjin, Alberto Termanini, Clelia Peano, Paolo Kunderfranco, Graziella di Cristo, Valerio Zerbi, Elisabetta Menna, Simona Lodato, Michela Matteoli, Davide Pozzi",Immunity,Prenatal interleukin 6 elevation increases glutamatergic synapse density and disrupts hippocampal connectivity in offspring,20211109,,Chromium,GSE180345,,RNA-seq,,,,,,,,,,,,,10.1016/j.immuni.2021.10.006,1,Mirabella et al Immunity,1,
1609,Klingler et al Nature,10.1038/s41586-021-04048-3,,,,,,,,,,,"Esther Klingler, Ugo Tomasello, Julien Prados, Justus M. Kebschull, Alessandro Contestabile, Gregorio L. Galiñanes, Sabine Fièvre, Antonio Santinha, Randal Platt, Daniel Huber, Alexandre Dayer, Camilla Bellone, Denis Jabaudon",Nature,Temporal controls over inter-areal cortical projection neuron fate diversity,20211109,,,,,RNA-seq,,,,,,,,,,,,,10.1038/s41586-021-04048-3,1,Klingler et al Nature,1,
1610,Wells et al bioRxiv,10.1101/2021.11.08.467815,104,,,Human,"86,185",Culture,,,,,"Michael F. Wells, James Nemesh, Sulagna Ghosh, Jana M. Mitchell, Curtis J. Mello, Daniel Meyer, Kavya Raghunathan, Matthew Tegtmeyer, Derek Hawes, Anna Neumann, Kathleen A. Worringer, Joseph J. Raymond, Sravya Kommineni, Karrie Chan, Daniel Ho, Brant K. Peterson, Federica Piccioni, Ralda Nehme, Kevin Eggan, Steven A. McCarroll",bioRxiv,Natural variation in gene expression and Zika virus susceptibility revealed by villages of neural progenitor cells,20211110,10.1101/2021.11.08.467815,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1101/2021.11.08.467815,1,Wells et al bioRxiv,1,104
1611,Wang et al NCommunications,10.1038/s41467-021-26770-2,25,,Single-cell RNA sequencing data was analyzed from 25 patients in this study.,Human,"268,471","Lung, Tumor",Respiratory system,3,,,"Zhoufeng Wang, Zhe Li, Kun Zhou, Chengdi Wang, Lili Jiang, Li Zhang, Ying Yang, Wenxin Luo, Wenliang Qiao, Gang Wang, Yinyun Ni, Shuiping Dai, Tingting Guo, Guiyi Ji, Minjie Xu, Yiying Liu, Zhixi Su, Guowei Che, Weimin Li",Nat Commun,Deciphering cell lineage specification of human lung adenocarcinoma with single-cell RNA sequencing,11/11/2021,,Chromium,HRA001130,,RNA-seq,,,,,,,,,,,,https://portal.gdc.cancer.gov/projects/TCGA-LUAD,10.1038/s41467-021-26770-2,1,Wang et al NCommunications,1,25
1612,Namboori et al SCR,10.1016/j.stemcr.2021.10.010,,,,,,,,,,,"Seema C. Namboori, Patricia Thomas, Ryan Ames, Sophie Hawkins, Lawrence O. Garrett, Craig R.G. Willis, Alessandro Rosa, Lawrence W. Stanton, Akshay Bhinge",Stem Cell Reports,Single-cell transcriptomics identifies master regulators of neurodegeneration in SOD1 ALS iPSC-derived motor neurons,20211111,,,,,,,,,,,,,,,,,,10.1016/j.stemcr.2021.10.010,1,Namboori et al SCR,1,
1613,Zhao et al CDD,10.1038/s41419-021-04358-4,,,,,,,,,,,"Hongyu Zhao, Yan Gao, Jinwei Miao, Suwen Chen, Jie Li, Zhefeng Li, Chenghong Yin, Wentao Yue",Cell Death Dis,Single-cell RNA-seq highlights a specific carcinoembryonic cluster in ovarian cancer,20211113,,,,,,,,,,,,,,,,,,10.1038/s41419-021-04358-4,1,Zhao et al CDD,1,
1614,Sinha et al NMedicine,10.1038/s41591-021-01576-3,21,,"Single-cell RNA sequencing data was analyzed for 21 patient samples and 5 healthy donors in this study. This information can be found in the sentence ""a. UMAP projection of 86,935  whole blood cells from 21 patient samples, coloured by clinical cohort. d. Neutrophil state composition in healthy donors, combined across all donors or separated by individual donor ID.""",Human,"1,872,659",Blood,Blood,1,,,"Sarthak Sinha, Nicole L. Rosin, Rohit Arora, Elodie Labit, Arzina Jaffer, Leslie Cao, Raquel Farias, Angela P. Nguyen, Luiz G. N. de Almeida, Antoine Dufour, Amy Bromley, Braedon McDonald, Mark R. Gillrie, Marvin J. Fritzler, Bryan G. Yipp, Jeff Biernaskie",Nat Med,Dexamethasone modulates immature neutrophils and interferon programming in severe COVID-19,15/11/2021,,Chromium,GSE157789,,RNA-seq,Leukocytes and lymphocytes,COVID-19,,,,,,,,,,,10.1038/s41591-021-01576-3,1,Sinha et al NMedicine,1,21
1615,Tyser et al Nature,10.1038/s41586-021-04158-y,1,,"Single-cell RNA sequencing data was analyzed from one donor in this study. The source sentence is ""The embryo was karyotypically normal and male (Region specific assay: (13, 15, 16, 18, 21, 22) x 2, (X, Y) x 1)."" and "" We used this sample to perform a spatially  regionalised single-cell RNA-seq (scRNAseq) analysis.""",Human,"1,195",Embryo,Embryo,3,,,"Richard C. V. Tyser, Elmir Mahammadov, Shota Nakanoh, Ludovic Vallier, Antonio Scialdone, Shankar Srinivas",Nature,Single-cell transcriptomic characterization of a gastrulating human embryo,17/11/2021,,Smart-seq2,E-MTAB-9388,,RNA-seq,,,E16,,,,,,,,,http://www.human-gastrula.net/,10.1038/s41586-021-04158-y,1,Tyser et al Nature,1,
1616,Andrews et al HCommunications,10.1002/hep4.1854,4,,Single-cell RNA sequencing data was analyzed from four healthy human liver donors in this study.,Human,"73,295",Liver,Digestive system,3,,,"Tallulah S. Andrews, Jawairia Atif, Jeff C. Liu, Catia T. Perciani, Xue‐Zhong Ma, Cornelia Thoeni, Michal Slyper, Gökcen Eraslan, Asa Segerstolpe, Justin Manuel, Sai Chung, Erin Winter, Iulia Cirlan, Nicholas Khuu, Sandra Fischer, Orit Rozenblatt‐Rosen, Aviv Regev, Ian D. McGilvray, Gary D. Bader, Sonya A. MacParland",Hepatol Commun,"Single‐Cell, Single‐Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",18/11/2021,,Chromium,GSE185477,,RNA-seq,,,,20,Yes,Yes,No,Yes,No,,,https://figshare.com/projects/Human_Liver_SC_vs_SN_paper/98981,10.1002/hep4.1854,1,Andrews et al HCommunications,1,4
1617,Guo et al JCIInsight,10.1172/jci.insight.152616,6,,Single-cell RNA sequencing data were analyzed for 6 patients in this study.,Human,"27,927","Colon, Tumor",Digestive system,3,Right sided vs Left sided,,"Wei Guo, Cuiyu Zhang, Xia Wang, Dandan Dou, Dawei Chen, Jingxin Li",JCI Insight,Resolving the difference between left-sided and right-sided colorectal cancer by single-cell sequencing,18/11/2021,,Chromium,GSE188711,,RNA-seq,,Colorectal cancer,,,,,,,,,,,10.1172/jci.insight.152616,1,Guo et al JCIInsight,1,6
1618,Palmer et al PNAS,10.1073/pnas.2114326118,29,,,Human,"172,237",Brain,Brain,3,DS vs Control,,"Carter R. Palmer, Christine S. Liu, William J. Romanow, Ming-Hsiang Lee, Jerold Chun",Proc. Natl. Acad. Sci. U.S.A.,Altered cell and RNA isoform diversity in aging Down syndrome brains,18/11/2021,,Chromium,EGAS00001005691,,RNA-seq,,Down syndrome,,,,,,,,,,,10.1073/pnas.2114326118,1,Palmer et al PNAS,1,29
1619,Triana et al NImmunology,10.1038/s41590-021-01059-0,6,,"Single-cell RNA sequencing data were analyzed for 9 individuals: 3 young healthy donors, 3 aged healthy donors and 3 acute myeloid leukemia (AML) patients at diagnosis. This information is mentioned in the following sentence: ""Using this panel, in combination with 97 surface markers (Supplementary Table 2), we analyzed the BM of three young healthy donors, three aged healthy donors and three acute myeloid leukemia (AML) patients at diagnosis (Fig.""",Human,,Bone marrow,Bone marrow,2,,,"Sergio Triana, Dominik Vonficht, Lea Jopp-Saile, Simon Raffel, Raphael Lutz, Daniel Leonce, Magdalena Antes, Pablo Hernández-Malmierca, Diana Ordoñez-Rueda, Beáta Ramasz, Tobias Boch, Johann-Christoph Jann, Daniel Nowak, Wolf-Karsten Hofmann, Carsten Müller-Tidow, Daniel Hübschmann, Theodore Alexandrov, Vladimir Benes, Andreas Trumpp, Malte Paulsen, Lars Velten, Simon Haas",Nat Immunol,Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,22/11/2021,,BD Rhapsody & Smart-seq2,https://figshare.com/projects/Single-cell_proteo-genomic_reference_maps_of_the_human_hematopoietic_system/94469,462,RNA-seq,,,,,,,,,,,,,10.1038/s41590-021-01059-0,1,Triana et al NImmunology,1,6
1620,Ma et al NImmunology,10.1038/s41590-021-01073-2,18,,"Single-cell RNA sequencing data was analyzed for 10 healthy donors and 8 patients with T1D in this study. The information can be found in the sentence: ""To further demonstrate the advantages of TetTCR-SeqHD in characterizing antigen-specific CD8 + T cells, we curated a panel of 215 endogenous and 65 foreign antigens from the IEDB database (Supplementary Table 4 and Methods) covering HLA-A01:01, HLA-A02:01 and HLA-B08:01 alleles and applied TetTCR-SeqHD in ten healthy donors without T1D and eight patients with T1D (Supplementary Table 5).""",Human,32992,Blood,Blood,1,,,"Ke-Yue Ma, Alexandra A. Schonnesen, Chenfeng He, Amanda Y. Xia, Eric Sun, Eunise Chen, Katherine R. Sebastian, Yu-Wan Guo, Robert Balderas, Mrinalini Kulkarni-Date, Ning Jiang",Nat Immunol,High-throughput and high-dimensional single-cell analysis of antigen-specific CD8+ T cells,22/11/2021,,TeTCR-seqHD,phs002441.v1.p1,,RNA-seq,,,,,,,,,,,,,10.1038/s41590-021-01073-2,1,Ma et al NImmunology,1,18
1621,Yang et al CPR,10.1158/1940-6207.CAPR-21-0378,,,,Mouse,"62,741",Colon,,,Ahr KO vs WT,,"Yongjian Yang, Daniel Osorio, Laurie A. Davidson, Huajun Han, Destiny A. Mullens, Arul Jayaraman, Stephen Safe, Ivan Ivanov, James J. Cai, Robert S. Chapkin",Cancer Prev Res,Single-cell RNA Sequencing Reveals How the Aryl Hydrocarbon Receptor Shapes Cellular Differentiation Potency in the Mouse Colon,20211123,,Chromium,GSE167595,,RNA-seq,,,,,,,,,,,,,10.1158/1940-6207.CAPR-21-0378,1,Yang et al CPR,1,
1622,Randolph et al Science,10.1126/science.abg0928,90,,,Human,"235,000",Blood,Blood,1,"IAV-infected vs Mock, Genetic data",,"Haley E. Randolph, Jessica K. Fiege, Beth K. Thielen, Clayton K. Mickelson, Mari Shiratori, João Barroso-Batista, Ryan A. Langlois, Luis B. Barreiro",Science,Genetic ancestry effects on the response to viral infection are pervasive but cell type specific,25/11/2021,10.1101/2020.12.21.423830,,GSE162632,,RNA-seq,PBMCs,Influenza A virus infection,,,,,,,,,,,10.1126/science.abg0928,1,Randolph et al Science,1,90
1623,Chari et al SAdvances,10.1126/sciadv.abh1683,,,,Clytia hemisphaerica,"13,673",Whole organism,,,,,"Tara Chari, Brandon Weissbourd, Jase Gehring, Anna Ferraioli, Lucas Leclère, Makenna Herl, Fan Gao, Sandra Chevalier, Richard R. Copley, Evelyn Houliston, David J. Anderson, Lior Pachter",Sci. Adv.,Whole-animal multiplexed single-cell RNA-seq reveals transcriptional shifts across Clytia medusa cell types,20211126,10.1101/2021.01.22.427844,WHAM-seq,,,RNA-seq,,,,,,,,,,,,,10.1126/sciadv.abh1683,1,Chari et al SAdvances,1,
1624,Trier et al NCommunications,10.1038/s41467-021-26951-z,20,,Single-cell RNA sequencing data were analyzed for 20 RRMM patients and the BME cells of eight healthy donors in this study.,Human,"212,404","Bone marrow, Tumor",Bone marrow,2,,,"Stephan M. Tirier, Jan-Philipp Mallm, Simon Steiger, Alexandra M. Poos, Mohamed H. S. Awwad, Nicola Giesen, Nicola Casiraghi, Hana Susak, Katharina Bauer, Anja Baumann, Lukas John, Anja Seckinger, Dirk Hose, Carsten Müller-Tidow, Hartmut Goldschmidt, Oliver Stegle, Michael Hundemer, Niels Weinhold, Marc S. Raab, Karsten Rippe",Nat Commun,Subclone-specific microenvironmental impact and drug response in refractory multiple myeloma revealed by single‐cell transcriptomics,29/11/2021,,Chromium,GSE161801,,RNA-seq,,,,,,,,,,,,,10.1038/s41467-021-26951-z,1,Trier et al NCommunications,1,20
1625,Horeth et al FImmunology,10.3389/fimmu.2021.729040,,,,Mouse,"21,386",Salivary gland,,,,,"Erich Horeth, Akinsola Oyelakin, Eun-Ah Christine Song, Monika Che, Jonathan Bard, Sangwon Min, Jeremy Kiripolsky, Jill M. Kramer, Satrajit Sinha, Rose-Anne Romano",Front. Immunol.,Transcriptomic and Single-Cell Analysis Reveals Regulatory Networks and Cellular Heterogeneity in Mouse Primary Sjögren’s Syndrome Salivary Glands,20211201,,Chromium,GSE175649,,RNA-seq,,,,,,,,,,,,,10.3389/fimmu.2021.729040,1,Horeth et al FImmunology,1,
1626,Chen et al Blood,10.1182/blood.2021013442,25,,,Human,128588,"Blood, bone marrow",Several,2,,,"Changya Chen, Wenbao Yu, Fatemeh Alikarami, Qi Qiu, Chia-hui Chen, Jennifer Flournoy, Peng Gao, Yasin Uzun, Li Fang, James W. Davenport, Yuxuan Hu, Qin Zhu, Kai Wang, Clara Libbrecht, Alex Felmeister, Isaiah Rozich, Yang-yang Ding, Stephen P. Hunger, Carolyn A. Felix, Hao Wu, Patrick A. Brown, Erin M. Guest, David M. Barrett, Kathrin M. Bernt, Kai Tan",Blood,"Single-cell multiomics reveals increased plasticity, resistant populations, and stem-cell–like blasts in <i>KMT2A</i>-rearranged leukemia",05/12/2021,,,,,,,,,,,,,,,,,,10.1182/blood.2021013442,1,Chen et al Blood,1,25
1627,Tsukahara et al Cell,10.1016/j.cell.2021.11.022,,,,Mouse,"770,000",Olfactory epitheliuam,,,,,"Tatsuya Tsukahara, David H. Brann, Stan L. Pashkovski, Grigori Guitchounts, Thomas Bozza, Sandeep Robert Datta",Cell,A transcriptional rheostat couples past activity to future sensory responses,20211207,,Chromium,GSE173947,,RNA-seq,,,,,,,,,,,,,10.1016/j.cell.2021.11.022,1,Tsukahara et al Cell,1,
1628,Shi et al Science,10.1126/science.abj6641,9,,"The single-cell RNA sequencing data was analyzed from human fetal ganglionic eminence samples across gestational weeks 9-18 collected from multiple donors, but the exact number of donors is not specified in the given sentence.",Human,"56,412",Brain,Brain,3,,,"Yingchao Shi, Mengdi Wang, Da Mi, Tian Lu, Bosong Wang, Hao Dong, Suijuan Zhong, Youqiao Chen, Le Sun, Xin Zhou, Qiang Ma, Zeyuan Liu, Wei Wang, Junjing Zhang, Qian Wu, Oscar Marín, Xiaoqun Wang",Science,Mouse and human share conserved transcriptional programs for interneuron development,09/12/2021,,,,,RNA-seq,Ganglionic eminences,,"GW 9,12,13,16,18",,,,,,,,,,10.1126/science.abj6641,1,Shi et al Science,1,
1629,TMC et al bioRxiv,10.1101/2021.12.12.469460,,,,Mouse lemur,"226,000","Brain, Retina, Skin, Fat, Mammary gland, Muscle, Diaphragm, Bone, Bone marrow, Blood, Spleen, Thymus, Heart, Aorta, Lung, Trachea, Tongue, Small intestine, Colon, Liver, Pancreas, Kidney, Bladder, Uterus, Testis",,,,,"The Tabula Microcebus Consortium, Camille Ezran, Shixuan Liu, Stephen Chang, Jingsi Ming, Olga Botvinnik, Lolita Penland, Alexander Tarashansky, Antoine de Morree, Kyle J. Travaglini, Kazuteru Hasegawa, Hosu Sin, Rene Sit, Jennifer Okamoto, Rahul Sinha, Yue Zhang, Caitlin J. Karanewsky, Jozeph L. Pendleton, Maurizio Morri, Martine Perret, Fabienne Aujard, Lubert Stryer, Steven Artandi, Margaret Fuller, Irving L. Weissman, Thomas A. Rando, James E. Ferrell, Bo Wang, Iwijn De Vlaminck, Can Yang, Kerriann M. Casey, Megan A. Albertelli, Angela Oliveira Pisco, Jim Karkanias, Norma Neff, Angela Wu, Stephen R. Quake, Mark A. Krasnow",bioRxiv,"Tabula Microcebus: A transcriptomic cell atlas of mouse lemur, an emerging primate model organism",20211213,10.1101/2021.12.12.469460,Chromium & Smart-seq2,https://figshare.com/projects/Tabula_Microcebus/112227,,RNA-seq,,,,750,Yes,Yes,No,Yes,Yes,,,,10.1101/2021.12.12.469460,1,TMC et al bioRxiv,1,
1630,Long et al iScience,10.1016/j.isci.2021.103627,,,,Mouse,,Ovary,,,,,"Xin Long, Qiuyun Yang, Jingjing Qian, Huiying Yao, Rui Yan, Xin Cheng, Qiancheng Zhang, Chan Gu, Fei Gao, Hongmei Wang, Lin Zhang, Fan Guo",iScience,Obesity modulates cell-cell interactions during ovarian folliculogenesis,20211213,,,,,RNA-seq,,,,,,,,,,,,,10.1016/j.isci.2021.103627,1,Long et al iScience,1,
1631,Smajić et al Brain,10.1093/brain/awab446,11,,"Single-cell RNA sequencing data were analyzed for 6 idiopathic PD patients and 5 matched controls. (Source: ""Here, we profiled >41,000 single-nuclei transcriptomes of postmortem midbrain tissue from 6 idiopathic PD (IPD) patients and 5 matched controls."")",Human,"41,000",Brain,Brain,3,,,"Semra Smajić, Cesar A. Prada-Medina, Zied Landoulsi, Jenny Ghelfi, Sylvie Delcambre, Carola Dietrich, Javier Jarazo, Jana Henck, Saranya Balachandran, Sinthuja Pachchek, Christopher M. Morris, Paul Antony, Bernd Timmermann, Sascha Sauer, Sandro L. Pereira, Jens C. Schwamborn, Patrick May, Anne Grünewald, Malte Spielmann",Brain,Single-cell sequencing of human midbrain reveals glial activation and a Parkinson-specific neuronal state,13/12/2021,10.1101/2020.09.28.20202812,Chromium,GSE157783,,RNA-seq,"Midbrain, microglia",Parkinson's disease,,12,Yes,Yes,No,Yes,No,,,,10.1093/brain/awab446,1,Smajić et al Brain,1,11
1632,Rao et al STM,10.1126/scitranslmed.abk2267,3,,,Human,,"Liver, Tumor",Digestive system,3,Tumor vs Adjacant non-tumor tissue,,"Shuyun Rao, Xiaochun Yang, Kazufumi Ohshiro, Sobia Zaidi, Zhanhuai Wang, Kirti Shetty, Xiyan Xiang, Md. Imtaiyaz Hassan, Taj Mohammad, Patricia S. Latham, Bao-Ngoc Nguyen, Linda Wong, Herbert Yu, Yousef Al-Abed, Bibhuti Mishra, Michele Vacca, Gareth Guenigault, Michael E. D. Allison, Antonio Vidal-Puig, Jihane N. Benhammou, Marcus Alvarez, Päivi Pajukanta, Joseph R. Pisegna, Lopa Mishra",Sci. Transl. Med.,β2-spectrin (SPTBN1) as a therapeutic target for diet-induced liver disease and preventing cancer development,15/12/2021,,,,,RNA-seq,,Hepatocellular carcinoma,,,,,,,,,,,10.1126/scitranslmed.abk2267,1,Rao et al STM,1,3
1633,Isakova et al bioRxiv,10.1073/pnas.2113568118,,,,"Human, Mouse",,Culture,,,,,"Alina Isakova, Norma Neff, Stephen R. Quake",Proc Natl Acad Sci USA,Single-cell quantification of a broad RNA spectrum reveals unique noncoding patterns associated with cell types and states,20211215,10.1101/2020.06.02.131060,Smart-seq-total,GSE151334,,RNA-seq,,,,,Yes,Yes,No,Yes,Yes,,,,10.1073/pnas.2113568118,1,Isakova et al bioRxiv,1,
1634,Zheng et al Science,10.1126/science.abe6474,47,,,Human,,"T cells, Tumor",Blood,1,TCR,,"Liangtao Zheng, Shishang Qin, Wen Si, Anqiang Wang, Baocai Xing, Ranran Gao, Xianwen Ren, Li Wang, Xiaojiang Wu, Ji Zhang, Nan Wu, Ning Zhang, Hong Zheng, Hanqiang Ouyang, Keyuan Chen, Zhaode Bu, Xueda Hu, Jiafu Ji, Zemin Zhang",Science,Pan-cancer single-cell landscape of tumor-infiltrating T cells,16/12/2021,,Chromium,GSE156728,,RNA-seq,,,,,,,,,,,,https://zenodo.org/record/5461803,10.1126/science.abe6474,1,Zheng et al Science,1,47
1635,Tuong et al CReports,10.1016/j.celrep.2021.110132,10,,"Single-cell RNA sequencing data were analyzed for 10 donors (patients) in this study. The information is mentioned in the source sentence ""We performed scRNaseq on paired cancer biopsy and adjacent normal prostate tissue in n = 10 subjects aged 50–72 years of age"".",Human,"17,106","Prostate, Tumor",Reproductive system,3,,,"Zewen Kelvin Tuong, Kevin W. Loudon, Brendan Berry, Nathan Richoz, Julia Jones, Xiao Tan, Quan Nguyen, Anne George, Satoshi Hori, Sarah Field, Andy G. Lynch, Katarzyna Kania, Paul Coupland, Anne Babbage, Richard Grenfell, Tristan Barrett, Anne Y. Warren, Vincent Gnanapragasam, Charlie Massie, Menna R. Clatworthy",Cell Reports,Resolving the immune landscape of human prostate at a single-cell level in health and cancer,21/12/2021,,Chromium,EGAS00001005787,,RNA-seq,,,,,,,,,,https://cellgeni.cog.sanger.ac.uk/prostatecellatlas/prostate_portal_300921.h5ad,,,10.1016/j.celrep.2021.110132,1,Tuong et al CReports,1,
